Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.21     0.00    18796     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::construct(GraphNode**, GraphNode* const&)
  0.00      0.21     0.00    18630     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, true>::_S_base(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.21     0.00    18630     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > >(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.21     0.00    17333     0.00     0.00  __gnu_cxx::new_allocator<Course*>::construct(Course**, Course* const&)
  0.00      0.21     0.00    17321     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::push_back(Course* const&)
  0.00      0.21     0.00    17296     0.00     0.00  std::_Niter_base<Interest**>::iterator_type std::__niter_base<Interest**>(Interest**)
  0.00      0.21     0.00    17255     0.00     0.00  std::_Iter_base<Interest**, false>::_S_base(Interest**)
  0.00      0.21     0.00    16659     0.00     0.00  std::vector<Interest, std::allocator<Interest> >::size() const
  0.00      0.21     0.00    16331     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::end()
  0.00      0.21     0.00    15932     0.00     0.00  std::vector<Interest, std::allocator<Interest> >::operator[](unsigned long)
  0.00      0.21     0.00    14340     0.00     0.00  std::_Iter_base<std::move_iterator<GraphNode**>, true>::_S_base(std::move_iterator<GraphNode**>)
  0.00      0.21     0.00    14340     0.00     0.00  std::move_iterator<GraphNode**>::move_iterator(GraphNode**)
  0.00      0.21     0.00    14339     0.00     0.00  std::move_iterator<GraphNode**>::base() const
  0.00      0.21     0.00    14339     0.00     0.00  std::_Miter_base<std::move_iterator<GraphNode**> >::iterator_type std::__miter_base<std::move_iterator<GraphNode**> >(std::move_iterator<GraphNode**>)
  0.00      0.21     0.00    14339     0.00     0.00  std::move_iterator<GraphNode**> std::make_move_iterator<GraphNode**>(GraphNode** const&)
  0.00      0.21     0.00    13380     0.00     0.00  GraphNode** std::__copy_move_a<true, GraphNode**, GraphNode**>(GraphNode**, GraphNode**, GraphNode**)
  0.00      0.21     0.00    13379     0.00     0.00  GraphNode** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<GraphNode*>(GraphNode* const*, GraphNode* const*, GraphNode**)
  0.00      0.21     0.00    12769     0.00     0.00  std::_Niter_base<Course**>::iterator_type std::__niter_base<Course**>(Course**)
  0.00      0.21     0.00    12765     0.00     0.00  std::_Iter_base<Course**, false>::_S_base(Course**)
  0.00      0.21     0.00    12420     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, false>::_S_base(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.21     0.00    12420     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > >(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.21     0.00    12120     0.00     0.00  std::_Vector_base<Course*, std::allocator<Course*> >::_M_get_Tp_allocator()
  0.00      0.21     0.00    11524     0.00     0.00  std::_Miter_base<std::move_iterator<Interest**> >::iterator_type std::__miter_base<std::move_iterator<Interest**> >(std::move_iterator<Interest**>)
  0.00      0.21     0.00    11521     0.00     0.00  std::move_iterator<Interest**>::move_iterator(Interest**)
  0.00      0.21     0.00    11509     0.00     0.00  std::_Iter_base<std::move_iterator<Interest**>, true>::_S_base(std::move_iterator<Interest**>)
  0.00      0.21     0.00    11493     0.00     0.00  std::move_iterator<Interest**> std::make_move_iterator<Interest**>(Interest** const&)
  0.00      0.21     0.00    11481     0.00     0.00  __gnu_cxx::__normal_iterator<Interest**, std::vector<Interest*, std::allocator<Interest*> > >::base() const
  0.00      0.21     0.00    11481     0.00     0.00  std::move_iterator<Interest**>::base() const
  0.00      0.21     0.00    11082     0.00     0.00  std::_Vector_base<GraphNode*, std::allocator<GraphNode*> >::_M_get_Tp_allocator()
  0.00      0.21     0.00    10752     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::max_size() const
  0.00      0.21     0.00    10121     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::begin()
  0.00      0.21     0.00     8951     0.00     0.00  std::_Vector_base<Interest*, std::allocator<Interest*> >::_M_get_Tp_allocator()
  0.00      0.21     0.00     8618     0.00     0.00  __gnu_cxx::new_allocator<Interest*>::max_size() const
  0.00      0.21     0.00     8509     0.00     0.00  std::move_iterator<Course**> std::make_move_iterator<Course**>(Course** const&)
  0.00      0.21     0.00     8508     0.00     0.00  std::move_iterator<Course**>::move_iterator(Course**)
  0.00      0.21     0.00     8507     0.00     0.00  std::move_iterator<Course**>::base() const
  0.00      0.21     0.00     8504     0.00     0.00  __gnu_cxx::__normal_iterator<Course**, std::vector<Course*, std::allocator<Course*> > >::base() const
  0.00      0.21     0.00     8504     0.00     0.00  std::_Iter_base<std::move_iterator<Course**>, true>::_S_base(std::move_iterator<Course**>)
  0.00      0.21     0.00     8503     0.00     0.00  std::_Miter_base<std::move_iterator<Course**> >::iterator_type std::__miter_base<std::move_iterator<Course**> >(std::move_iterator<Course**>)
  0.00      0.21     0.00     7850     0.00     0.00  void std::_Destroy<Course**, Course*>(Course**, Course**, std::allocator<Course*>&)
  0.00      0.21     0.00     7849     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Course**>(Course**, Course**)
  0.00      0.21     0.00     7848     0.00     0.00  void std::_Destroy<Course**>(Course**, Course**)
  0.00      0.21     0.00     7179     0.00     0.00  std::_Vector_base<GraphNode*, std::allocator<GraphNode*> >::_M_get_Tp_allocator() const
  0.00      0.21     0.00     7170     0.00     0.00  GraphNode** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<GraphNode**>, GraphNode**>(std::move_iterator<GraphNode**>, std::move_iterator<GraphNode**>, GraphNode**)
  0.00      0.21     0.00     7170     0.00     0.00  GraphNode** std::__copy_move_a2<true, GraphNode**, GraphNode**>(GraphNode**, GraphNode**, GraphNode**)
  0.00      0.21     0.00     7170     0.00     0.00  GraphNode** std::__uninitialized_move_a<GraphNode**, GraphNode**, std::allocator<GraphNode*> >(GraphNode**, GraphNode**, GraphNode**, std::allocator<GraphNode*>&)
  0.00      0.21     0.00     7169     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::max_size() const
  0.00      0.21     0.00     7169     0.00     0.00  GraphNode** std::uninitialized_copy<std::move_iterator<GraphNode**>, GraphNode**>(std::move_iterator<GraphNode**>, std::move_iterator<GraphNode**>, GraphNode**)
  0.00      0.21     0.00     7169     0.00     0.00  GraphNode** std::__uninitialized_copy_a<std::move_iterator<GraphNode**>, GraphNode**, GraphNode*>(std::move_iterator<GraphNode**>, std::move_iterator<GraphNode**>, GraphNode**, std::allocator<GraphNode*>&)
  0.00      0.21     0.00     7169     0.00     0.00  GraphNode** std::copy<std::move_iterator<GraphNode**>, GraphNode**>(std::move_iterator<GraphNode**>, std::move_iterator<GraphNode**>, GraphNode**)
  0.00      0.21     0.00     6658     0.00     0.00  stud_lock()
  0.00      0.21     0.00     6536     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::destroy(GraphNode**)
  0.00      0.21     0.00     6536     0.00     0.00  bool __gnu_cxx::operator!=<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > const&, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > const&)
  0.00      0.21     0.00     6536     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::erase(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.21     0.00     6377     0.00     0.00  __gnu_cxx::new_allocator<Course*>::max_size() const
  0.00      0.21     0.00     6210     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > std::__copy_move_a2<true, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > >(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.21     0.00     6210     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > std::move<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > >(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.21     0.00     5765     0.00     0.00  Interest** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Interest*>(Interest* const*, Interest* const*, Interest**)
  0.00      0.21     0.00     5759     0.00     0.00  Interest** std::__copy_move_a2<true, Interest**, Interest**>(Interest**, Interest**, Interest**)
  0.00      0.21     0.00     5756     0.00     0.00  Interest** std::__uninitialized_copy_a<std::move_iterator<Interest**>, Interest**, Interest*>(std::move_iterator<Interest**>, std::move_iterator<Interest**>, Interest**, std::allocator<Interest*>&)
  0.00      0.21     0.00     5756     0.00     0.00  Interest** std::__uninitialized_move_a<Interest**, Interest**, std::allocator<Interest*> >(Interest**, Interest**, Interest**, std::allocator<Interest*>&)
  0.00      0.21     0.00     5755     0.00     0.00  Interest** std::__copy_move_a<true, Interest**, Interest**>(Interest**, Interest**, Interest**)
  0.00      0.21     0.00     5751     0.00     0.00  Interest** std::uninitialized_copy<std::move_iterator<Interest**>, Interest**>(std::move_iterator<Interest**>, std::move_iterator<Interest**>, Interest**)
  0.00      0.21     0.00     5751     0.00     0.00  Interest** std::copy<std::move_iterator<Interest**>, Interest**>(std::move_iterator<Interest**>, std::move_iterator<Interest**>, Interest**)
  0.00      0.21     0.00     5749     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::max_size() const
  0.00      0.21     0.00     5745     0.00     0.00  std::_Vector_base<Interest*, std::allocator<Interest*> >::_M_get_Tp_allocator() const
  0.00      0.21     0.00     5745     0.00     0.00  Interest** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<Interest**>, Interest**>(std::move_iterator<Interest**>, std::move_iterator<Interest**>, Interest**)
  0.00      0.21     0.00     5735     0.00     0.00  __gnu_cxx::__normal_iterator<Interest**, std::vector<Interest*, std::allocator<Interest*> > >::__normal_iterator(Interest** const&)
  0.00      0.21     0.00     5652     0.00     0.00  __gnu_cxx::new_allocator<Interest*>::construct(Interest**, Interest* const&)
  0.00      0.21     0.00     5640     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::push_back(Interest* const&)
  0.00      0.21     0.00     5410     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::_M_erase_at_end(Course**)
  0.00      0.21     0.00     5404     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::clear()
  0.00      0.21     0.00     4260     0.00     0.00  std::_Vector_base<Course*, std::allocator<Course*> >::_M_get_Tp_allocator() const
  0.00      0.21     0.00     4255     0.00     0.00  Course** std::copy<std::move_iterator<Course**>, Course**>(std::move_iterator<Course**>, std::move_iterator<Course**>, Course**)
  0.00      0.21     0.00     4253     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::max_size() const
  0.00      0.21     0.00     4253     0.00     0.00  Course** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Course*>(Course* const*, Course* const*, Course**)
  0.00      0.21     0.00     4253     0.00     0.00  Course** std::__uninitialized_copy_a<std::move_iterator<Course**>, Course**, Course*>(std::move_iterator<Course**>, std::move_iterator<Course**>, Course**, std::allocator<Course*>&)
