Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.04     0.00    26815     0.00     0.00  Interest** std::__uninitialized_copy_a<std::move_iterator<Interest**>, Interest**, Interest*>(std::move_iterator<Interest**>, std::move_iterator<Interest**>, Interest**, std::allocator<Interest*>&)
  0.00      0.04     0.00    26802     0.00     0.00  Interest** std::__copy_move_a2<true, Interest**, Interest**>(Interest**, Interest**, Interest**)
  0.00      0.04     0.00    26787     0.00     0.00  Interest** std::__copy_move_a<true, Interest**, Interest**>(Interest**, Interest**, Interest**)
  0.00      0.04     0.00    26786     0.00     0.00  Interest** std::uninitialized_copy<std::move_iterator<Interest**>, Interest**>(std::move_iterator<Interest**>, std::move_iterator<Interest**>, Interest**)
  0.00      0.04     0.00    26779     0.00     0.00  Interest** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Interest*>(Interest* const*, Interest* const*, Interest**)
  0.00      0.04     0.00    26776     0.00     0.00  Interest** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<Interest**>, Interest**>(std::move_iterator<Interest**>, std::move_iterator<Interest**>, Interest**)
  0.00      0.04     0.00    26768     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::max_size() const
  0.00      0.04     0.00    26756     0.00     0.00  Interest** std::copy<std::move_iterator<Interest**>, Interest**>(std::move_iterator<Interest**>, std::move_iterator<Interest**>, Interest**)
  0.00      0.04     0.00    26707     0.00     0.00  std::_Vector_base<Interest*, std::allocator<Interest*> >::_M_get_Tp_allocator() const
  0.00      0.04     0.00    26657     0.00     0.00  __gnu_cxx::__normal_iterator<Interest**, std::vector<Interest*, std::allocator<Interest*> > >::__normal_iterator(Interest** const&)
  0.00      0.04     0.00    26429     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::push_back(Course* const&)
  0.00      0.04     0.00    26331     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.04     0.00    26327     0.00     0.00  float std::generate_canonical<float, 24ul, std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.04     0.00    26304     0.00     0.00  std::exponential_distribution<float>::param_type::param_type(float)
  0.00      0.04     0.00    26301     0.00     0.00  std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, float>::operator()()
  0.00      0.04     0.00    26293     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::max()
  0.00      0.04     0.00    26292     0.00     0.00  float std::exponential_distribution<float>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.04     0.00    26267     0.00     0.00  std::log(float)
  0.00      0.04     0.00    26265     0.00     0.00  std::exponential_distribution<float>::param() const
  0.00      0.04     0.00    26264     0.00     0.00  float std::exponential_distribution<float>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::exponential_distribution<float>::param_type const&)
  0.00      0.04     0.00    26249     0.00     0.00  std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, float>::_Adaptor(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      0.04     0.00    26234     0.00     0.00  std::exponential_distribution<float>::param_type::lambda() const
  0.00      0.04     0.00    26233     0.00     0.00  std::exponential_distribution<float>::exponential_distribution(float const&)
  0.00      0.04     0.00    26196     0.00     0.00  recieveWakeUpCall(long)
  0.00      0.04     0.00    26192     0.00     0.00  sendRequest(Request)
  0.00      0.04     0.00    23880     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::base() const
  0.00      0.04     0.00    21771     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::__normal_iterator(GraphNode** const&)
  0.00      0.04     0.00    20400     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::max_size() const
  0.00      0.04     0.00    20378     0.00     0.00  Course** std::__uninitialized_copy_a<std::move_iterator<Course**>, Course**, Course*>(std::move_iterator<Course**>, std::move_iterator<Course**>, Course**, std::allocator<Course*>&)
  0.00      0.04     0.00    20366     0.00     0.00  Course** std::__copy_move_a2<true, Course**, Course**>(Course**, Course**, Course**)
  0.00      0.04     0.00    20365     0.00     0.00  Course** std::__uninitialized_move_a<Course**, Course**, std::allocator<Course*> >(Course**, Course**, Course**, std::allocator<Course*>&)
  0.00      0.04     0.00    20349     0.00     0.00  Course** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<Course**>, Course**>(std::move_iterator<Course**>, std::move_iterator<Course**>, Course**)
  0.00      0.04     0.00    20345     0.00     0.00  Course** std::uninitialized_copy<std::move_iterator<Course**>, Course**>(std::move_iterator<Course**>, std::move_iterator<Course**>, Course**)
  0.00      0.04     0.00    20344     0.00     0.00  Course** std::__copy_move_a<true, Course**, Course**>(Course**, Course**, Course**)
  0.00      0.04     0.00    20330     0.00     0.00  std::_Vector_base<Course*, std::allocator<Course*> >::_M_get_Tp_allocator() const
  0.00      0.04     0.00    20329     0.00     0.00  Course** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Course*>(Course* const*, Course* const*, Course**)
  0.00      0.04     0.00    20328     0.00     0.00  __gnu_cxx::__normal_iterator<Course**, std::vector<Course*, std::allocator<Course*> > >::__normal_iterator(Course** const&)
  0.00      0.04     0.00    20307     0.00     0.00  Course** std::copy<std::move_iterator<Course**>, Course**>(std::move_iterator<Course**>, std::move_iterator<Course**>, Course**)
  0.00      0.04     0.00    17252     0.00     0.00  void std::_Destroy<Course**, Course*>(Course**, Course**, std::allocator<Course*>&)
  0.00      0.04     0.00    17232     0.00     0.00  void std::_Destroy<Course**>(Course**, Course**)
  0.00      0.04     0.00    17220     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Course**>(Course**, Course**)
  0.00      0.04     0.00    16232     0.00     0.00  void std::_Destroy<Interest**, Interest*>(Interest**, Interest**, std::allocator<Interest*>&)
  0.00      0.04     0.00    16223     0.00     0.00  void std::_Destroy<Interest**>(Interest**, Interest**)
  0.00      0.04     0.00    16182     0.00     0.00  std::_Vector_base<Interest*, std::allocator<Interest*> >::_M_deallocate(Interest**, unsigned long)
  0.00      0.04     0.00    16167     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Interest**>(Interest**, Interest**)
  0.00      0.04     0.00    14766     0.00     0.00  std::_Niter_base<GraphNode**>::iterator_type std::__niter_base<GraphNode**>(GraphNode**)
  0.00      0.04     0.00    14725     0.00     0.00  std::_Iter_base<GraphNode**, false>::_S_base(GraphNode**)
  0.00      0.04     0.00    13507     0.00     0.00  __gnu_cxx::new_allocator<Interest*>::deallocate(Interest**, unsigned long)
  0.00      0.04     0.00    13398     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::begin()
  0.00      0.04     0.00    13396     0.00     0.00  Interest* const& std::forward<Interest* const&>(std::remove_reference<Interest* const&>::type&)
  0.00      0.04     0.00    13392     0.00     0.00  __gnu_cxx::__normal_iterator<Interest**, std::vector<Interest*, std::allocator<Interest*> > >::difference_type __gnu_cxx::operator-<Interest**, std::vector<Interest*, std::allocator<Interest*> > >(__gnu_cxx::__normal_iterator<Interest**, std::vector<Interest*, std::allocator<Interest*> > > const&, __gnu_cxx::__normal_iterator<Interest**, std::vector<Interest*, std::allocator<Interest*> > > const&)
  0.00      0.04     0.00    13392     0.00     0.00  std::_Vector_base<Interest*, std::allocator<Interest*> >::_M_allocate(unsigned long)
  0.00      0.04     0.00    13373     0.00     0.00  __gnu_cxx::new_allocator<Interest*>::allocate(unsigned long, void const*)
  0.00      0.04     0.00    13369     0.00     0.00  void std::vector<Interest*, std::allocator<Interest*> >::_M_insert_aux<Interest* const&>(__gnu_cxx::__normal_iterator<Interest**, std::vector<Interest*, std::allocator<Interest*> > >, Interest* const&)
  0.00      0.04     0.00    13347     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::end()
  0.00      0.04     0.00    13338     0.00     0.00  std::vector<Interest*, std::allocator<Interest*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.04     0.00    13033     0.00     0.00  std::_Vector_base<Course*, std::allocator<Course*> >::_M_deallocate(Course**, unsigned long)
  0.00      0.04     0.00    10244     0.00     0.00  __gnu_cxx::new_allocator<Course*>::deallocate(Course**, unsigned long)
  0.00      0.04     0.00    10239     0.00     0.00  std::_Vector_base<GraphNode*, std::allocator<GraphNode*> >::_M_get_Tp_allocator()
  0.00      0.04     0.00    10207     0.00     0.00  __gnu_cxx::__normal_iterator<Course**, std::vector<Course*, std::allocator<Course*> > >::difference_type __gnu_cxx::operator-<Course**, std::vector<Course*, std::allocator<Course*> > >(__gnu_cxx::__normal_iterator<Course**, std::vector<Course*, std::allocator<Course*> > > const&, __gnu_cxx::__normal_iterator<Course**, std::vector<Course*, std::allocator<Course*> > > const&)
  0.00      0.04     0.00    10203     0.00     0.00  std::_Vector_base<Course*, std::allocator<Course*> >::_M_allocate(unsigned long)
  0.00      0.04     0.00    10188     0.00     0.00  __gnu_cxx::new_allocator<Course*>::allocate(unsigned long, void const*)
  0.00      0.04     0.00    10185     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::begin()
  0.00      0.04     0.00    10182     0.00     0.00  void std::vector<Course*, std::allocator<Course*> >::_M_insert_aux<Course* const&>(__gnu_cxx::__normal_iterator<Course**, std::vector<Course*, std::allocator<Course*> > >, Course* const&)
  0.00      0.04     0.00    10178     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::end()
  0.00      0.04     0.00    10177     0.00     0.00  std::vector<Course*, std::allocator<Course*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.04     0.00    10172     0.00     0.00  Course* const& std::forward<Course* const&>(std::remove_reference<Course* const&>::type&)
  0.00      0.04     0.00     9836     0.00     0.00  std::_Miter_base<std::move_iterator<GraphNode**> >::iterator_type std::__miter_base<std::move_iterator<GraphNode**> >(std::move_iterator<GraphNode**>)
  0.00      0.04     0.00     9835     0.00     0.00  std::move_iterator<GraphNode**>::move_iterator(GraphNode**)
  0.00      0.04     0.00     9821     0.00     0.00  std::move_iterator<GraphNode**>::base() const
  0.00      0.04     0.00     9821     0.00     0.00  std::move_iterator<GraphNode**> std::make_move_iterator<GraphNode**>(GraphNode** const&)
  0.00      0.04     0.00     9818     0.00     0.00  std::_Iter_base<std::move_iterator<GraphNode**>, true>::_S_base(std::move_iterator<GraphNode**>)
  0.00      0.04     0.00     9092     0.00     0.00  std::vector<Department, std::allocator<Department> >::operator[](unsigned long)
  0.00      0.04     0.00     9042     0.00     0.00  std::vector<Department, std::allocator<Department> >::size() const
  0.00      0.04     0.00     8931     0.00     0.00  stud_lock()
  0.00      0.04     0.00     8424     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, true>::_S_base(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.04     0.00     8424     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > >(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.04     0.00     8083     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::end()
  0.00      0.04     0.00     7728     0.00     0.00  GraphNode** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<GraphNode*>(GraphNode* const*, GraphNode* const*, GraphNode**)
  0.00      0.04     0.00     7714     0.00     0.00  GraphNode** std::__copy_move_a<true, GraphNode**, GraphNode**>(GraphNode**, GraphNode**, GraphNode**)
  0.00      0.04     0.00     7387     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::max_size() const
  0.00      0.04     0.00     5618     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::operator+(long const&) const
  0.00      0.04     0.00     5616     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, false>::_S_base(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.04     0.00     5616     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > >(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >)
  0.00      0.04     0.00     5382     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::push_back(GraphNode* const&)
  0.00      0.04     0.00     5374     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::construct(GraphNode**, GraphNode* const&)
