Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.29     0.00     2486     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::begin()
  0.00      0.29     0.00     2108     0.00     0.00  void std::_Destroy_aux<true>::__destroy<GraphNode**>(GraphNode**, GraphNode**)
  0.00      0.29     0.00     2108     0.00     0.00  std::_Vector_base<GraphNode*, std::allocator<GraphNode*> >::_M_deallocate(GraphNode**, unsigned long)
  0.00      0.29     0.00     2108     0.00     0.00  void std::_Destroy<GraphNode**>(GraphNode**, GraphNode**)
  0.00      0.29     0.00     2108     0.00     0.00  void std::_Destroy<GraphNode**, GraphNode*>(GraphNode**, GraphNode**, std::allocator<GraphNode*>&)
  0.00      0.29     0.00     1879     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::destroy(GraphNode**)
  0.00      0.29     0.00     1741     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::deallocate(GraphNode**, unsigned long)
  0.00      0.29     0.00     1741     0.00     0.00  __gnu_cxx::new_allocator<GraphNode*>::allocate(unsigned long, void const*)
  0.00      0.29     0.00     1741     0.00     0.00  std::_Vector_base<GraphNode*, std::allocator<GraphNode*> >::_M_allocate(unsigned long)
  0.00      0.29     0.00     1740     0.00     0.00  __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >::difference_type __gnu_cxx::operator-<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > const&, __gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > > const&)
  0.00      0.29     0.00     1740     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.29     0.00     1740     0.00     0.00  std::vector<GraphNode*, std::allocator<GraphNode*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<GraphNode**, std::vector<GraphNode*, std::allocator<GraphNode*> > >, GraphNode* const&)
  0.00      0.29     0.00     1740     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.29     0.00     1602     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::string>::operator++()
  0.00      0.29     0.00     1595     0.00     0.00  std::_Rb_tree_const_iterator<GraphNode*>::_Rb_tree_const_iterator(std::_Rb_tree_node<GraphNode*> const*)
  0.00      0.29     0.00     1526     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.29     0.00     1524     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.29     0.00     1514     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<GraphNode*> >::deallocate(std::_Rb_tree_node<GraphNode*>*, unsigned long)
  0.00      0.29     0.00     1514     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<GraphNode*> >::allocate(unsigned long, void const*)
  0.00      0.29     0.00     1514     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<GraphNode*> >::max_size() const
  0.00      0.29     0.00     1514     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_M_get_node()
  0.00      0.29     0.00     1514     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_M_put_node(std::_Rb_tree_node<GraphNode*>*)
  0.00      0.29     0.00     1514     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_M_create_node(GraphNode* const&)
  0.00      0.29     0.00     1514     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_M_destroy_node(std::_Rb_tree_node<GraphNode*>*)
  0.00      0.29     0.00     1473     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_M_clone_node(std::_Rb_tree_node<GraphNode*> const*)
  0.00      0.29     0.00     1473     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.29     0.00     1430     0.00     0.00  bool __gnu_cxx::operator!=<char const*, std::string>(__gnu_cxx::__normal_iterator<char const*, std::string> const&, __gnu_cxx::__normal_iterator<char const*, std::string> const&)
  0.00      0.29     0.00     1341     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_M_begin()
  0.00      0.29     0.00     1300     0.00     0.00  std::_Rb_tree<GraphNode*, GraphNode*, std::_Identity<GraphNode*>, std::less<GraphNode*>, std::allocator<GraphNode*> >::_M_erase(std::_Rb_tree_node<GraphNode*>*)
